date,sales,price,is_festival,is_festival_1d,is_weekend,Max_Temperature,Min_Temperature,extreme_weather,sales_1d,sales_2d,sales_3d,sales_4d,sales_5d,sales_6d,sales_7d,sales_diff,price_diff
2021/1/8,26.297,5.06,0,0,0,5,-2,0,18.137,30.454,29.212,26.22,22.986,26.045,35.655,-12.317,-0.7
2021/1/9,16.167,5.75,0,0,1,8,0,0,26.297,18.137,30.454,29.212,26.22,22.986,26.045,8.16,0.69
2021/1/10,29.546,5.98,0,0,1,8,0,0,16.167,26.297,18.137,30.454,29.212,26.22,22.986,-10.13,0.22
2021/1/11,23.34,5.03,0,0,0,9,0,0,29.546,16.167,26.297,18.137,30.454,29.212,26.22,13.379,-0.94
2021/1/12,25.138,5.5,0,0,0,15,0,0,23.34,29.546,16.167,26.297,18.137,30.454,29.212,-6.206,0.47
2021/1/13,28.228,4.96,0,0,0,17,4,0,25.138,23.34,29.546,16.167,26.297,18.137,30.454,1.798,-0.55
2021/1/14,22.708,5.12,0,0,0,19,3,0,28.228,25.138,23.34,29.546,16.167,26.297,18.137,3.09,0.16
2021/1/15,31.282,4.6,0,0,0,17,4,0,22.708,28.228,25.138,23.34,29.546,16.167,26.297,-5.52,-0.52
2021/1/16,20.154,4.94,0,0,1,8,3,0,31.282,22.708,28.228,25.138,23.34,29.546,16.167,8.574,0.34
2021/1/17,33.169,4.48,0,0,1,9,0,0,20.154,31.282,22.708,28.228,25.138,23.34,29.546,-11.128,-0.46
2021/1/18,18.834,7.04,0,0,0,14,2,0,33.169,20.154,31.282,22.708,28.228,25.138,23.34,13.015,2.56
2021/1/19,23.138,6.17,0,0,0,15,3,0,18.834,33.169,20.154,31.282,22.708,28.228,25.138,-14.335,-0.87
2021/1/20,31.178,6.22,0,0,0,10,6,0,23.138,18.834,33.169,20.154,31.282,22.708,28.228,4.304,0.05
2021/1/21,41.228,6.53,0,0,0,8,6,0,31.178,23.138,18.834,33.169,20.154,31.282,22.708,8.04,0.31
2021/1/22,34.091,6.85,0,0,0,14,3,0,41.228,31.178,23.138,18.834,33.169,20.154,31.282,10.05,0.32
2021/1/23,17.857,7.56,0,0,1,12,5,0,34.091,41.228,31.178,23.138,18.834,33.169,20.154,-7.137,0.71
2021/1/24,20.502,7.37,0,0,1,7,5,0,17.857,34.091,41.228,31.178,23.138,18.834,33.169,-16.234,-0.19
2021/1/25,22.564,6.5,0,0,0,4,3,0,20.502,17.857,34.091,41.228,31.178,23.138,18.834,2.645,-0.87
2021/1/26,33.632,6.97,0,0,0,10,5,0,22.564,20.502,17.857,34.091,41.228,31.178,23.138,2.062,0.47
2021/1/27,17.181,6.45,0,0,0,8,1,0,33.632,22.564,20.502,17.857,34.091,41.228,31.178,11.068,-0.52
2021/1/28,26.709,7.33,0,0,0,14,1,0,17.181,33.632,22.564,20.502,17.857,34.091,41.228,-16.451,0.89
2021/1/29,30.904,6.76,0,0,0,12,6,0,26.709,17.181,33.632,22.564,20.502,17.857,34.091,9.528,-0.58
2021/1/30,48.194,6.36,0,0,1,13,6,0,30.904,26.709,17.181,33.632,22.564,20.502,17.857,4.195,-0.4
2021/1/31,31.456,6.82,0,0,1,9,6,0,48.194,30.904,26.709,17.181,33.632,22.564,20.502,17.29,0.46
2021/2/1,30.064,6.89,0,0,0,15,3,0,31.456,48.194,30.904,26.709,17.181,33.632,22.564,-16.738,0.07
2021/2/2,28.785,7.16,0,0,0,6,4,0,30.064,31.456,48.194,30.904,26.709,17.181,33.632,-1.392,0.27
2021/2/3,23.361,6.87,0,0,0,15,-4,0,28.785,30.064,31.456,48.194,30.904,26.709,17.181,-1.279,-0.29
2021/2/4,29.897,7.02,0,0,0,11,7,0,23.361,28.785,30.064,31.456,48.194,30.904,26.709,-5.424,0.15
2021/2/5,47.465,7.05,0,0,0,19,1,0,29.897,23.361,28.785,30.064,31.456,48.194,30.904,6.536,0.03
2021/2/6,46.365,6.21,0,0,1,9,8,0,47.465,29.897,23.361,28.785,30.064,31.456,48.194,17.568,-0.84
2021/2/7,56.467,5.96,0,0,1,10,8,0,46.365,47.465,29.897,23.361,28.785,30.064,31.456,-1.1,-0.25
2021/2/8,76.058,7.56,0,0,0,10,4,0,56.467,46.365,47.465,29.897,23.361,28.785,30.064,10.102,1.59
2021/2/9,58.581,7.71,0,0,0,12,7,0,76.058,56.467,46.365,47.465,29.897,23.361,28.785,19.591,0.15
2021/2/10,100.331,7.96,0,1,0,11,6,0,58.581,76.058,56.467,46.365,47.465,29.897,23.361,-17.477,0.25
2021/2/11,26.332,7.96,1,0,0,17,6,0,100.331,58.581,76.058,56.467,46.365,47.465,29.897,41.75,0
2021/2/12,15.145,7.43,1,0,0,15,7,0,26.332,100.331,58.581,76.058,56.467,46.365,47.465,-73.999,-0.53
2021/2/13,8.731,7.96,1,0,1,16,7,0,15.145,26.332,100.331,58.581,76.058,56.467,46.365,-11.187,0.53
2021/2/14,49.148,7.96,1,0,1,20,8,0,8.731,15.145,26.332,100.331,58.581,76.058,56.467,-6.414,0
2021/2/15,21.181,7.96,1,0,0,17,7,0,49.148,8.731,15.145,26.332,100.331,58.581,76.058,40.417,0
2021/2/16,21.531,9.12,1,0,0,17,4,0,21.181,49.148,8.731,15.145,26.332,100.331,58.581,-27.967,1.16
2021/2/17,32.337,8.8,1,0,0,18,6,0,21.531,21.181,49.148,8.731,15.145,26.332,100.331,0.35,-0.32
2021/2/18,29.43,8.8,0,0,0,18,8,0,32.337,21.531,21.181,49.148,8.731,15.145,26.332,10.806,0
2021/2/19,34.804,8.39,0,0,0,22,8,0,29.43,32.337,21.531,21.181,49.148,8.731,15.145,-2.907,-0.4
2021/2/20,44.733,8.25,0,0,1,23,9,0,34.804,29.43,32.337,21.531,21.181,49.148,8.731,5.374,-0.15
2021/2/21,36.254,8.52,0,0,1,25,10,0,44.733,34.804,29.43,32.337,21.531,21.181,49.148,9.929,0.27
2021/2/22,36.706,7.56,0,0,0,26,12,0,36.254,44.733,34.804,29.43,32.337,21.531,21.181,-8.479,-0.96
2021/2/23,21.08,8.5,0,0,0,16,9,0,36.706,36.254,44.733,34.804,29.43,32.337,21.531,0.452,0.94
2021/2/24,34.007,9.05,0,0,0,10,6,0,21.08,36.706,36.254,44.733,34.804,29.43,32.337,-15.626,0.55
2021/2/25,34.019,8.84,0,0,0,7,4,0,34.007,21.08,36.706,36.254,44.733,34.804,29.43,12.927,-0.21
2021/2/26,34.788,8.87,0,0,0,6,5,0,34.019,34.007,21.08,36.706,36.254,44.733,34.804,0.012,0.03
2021/2/27,41.694,8.41,0,0,1,11,3,0,34.788,34.019,34.007,21.08,36.706,36.254,44.733,0.769,-0.46
2021/2/28,23.288,8.81,0,0,1,9,6,0,41.694,34.788,34.019,34.007,21.08,36.706,36.254,6.906,0.4
2021/3/1,24.402,8.97,0,0,0,12,2,0,23.288,41.694,34.788,34.019,34.007,21.08,36.706,-18.406,0.16
2021/3/2,24.074,8.96,0,0,0,13,6,0,24.402,23.288,41.694,34.788,34.019,34.007,21.08,1.114,0
2021/3/3,36.9,7.83,0,0,0,15,6,0,24.074,24.402,23.288,41.694,34.788,34.019,34.007,-0.328,-1.13
2021/3/4,34.068,7.95,0,0,0,18,10,0,36.9,24.074,24.402,23.288,41.694,34.788,34.019,12.826,0.12
2021/3/5,21.948,7.96,0,0,0,15,11,0,34.068,36.9,24.074,24.402,23.288,41.694,34.788,-2.832,0.01
